TIME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,day_of_week,weeekday,date,month,TEMPRETURE,DEW,PRECIPITATION,RH,WIND SPD,WIND DIR
18,0,0,0,0,0,0,0,0,1,4,1,29,12,26,2,0,35,10.4,290
18,0,0,0,0,0,0,0,0,3,4,1,29,12,26,2,0,35,10.4,290
18,0,0,0,0,0,0,0,0,1,4,1,29,12,26,2,0,35,10.4,290
18,1,0,1,0,0,0,0,0,0,4,1,29,12,26,2,0,35,10.4,290
18,1,0,0,0,0,0,1,0,3,4,1,29,12,26,2,0,35,10.4,290
18,0,0,0,0,0,0,0,0,3,4,1,29,12,26,2,0,35,10.4,290
18,0,0,0,0,0,0,0,0,1,4,1,29,12,26,2,0,35,10.4,290
18,1,0,1,0,0,0,0,0,0,4,1,29,12,26,2,0,35,10.4,290
18,0,0,0,0,0,0,0,0,3,4,1,29,12,26,2,0,35,10.4,290
18,2,0,0,0,0,0,2,0,0,4,1,29,12,26,2,0,35,10.4,290
19,0,0,0,0,0,0,0,0,0,4,1,29,12,31,10,0,41,11,5 280
19,0,0,0,0,0,0,0,0,3,4,1,29,12,31,10,0,41,11,5 280
19,1,0,1,0,0,0,0,0,0,4,1,29,12,31,10,0,41,11,5 280
19,0,0,0,0,0,0,0,0,1,4,1,29,12,31,10,0,41,11,5 280
1,0,0,0,0,0,0,0,0,0,4,1,29,12,36,35,0.02,96,11,5 60
20,0,0,0,0,0,0,0,0,1,4,1,29,12,30,10,0,43,6.9,-1
20,0,0,0,0,0,0,0,0,1,4,1,29,12,30,10,0,43,6.9,-1
20,0,0,0,0,0,0,0,0,1,4,1,29,12,30,10,0,43,6.9,-1
20,1,0,0,0,0,0,1,0,1,4,1,29,12,30,10,0,43,6.9,-1
20,0,0,0,0,0,0,0,0,1,4,1,29,12,30,10,0,43,6.9,-1
20,0,0,0,0,0,0,0,0,2,4,1,29,12,30,10,0,43,6.9,-1
10,0,0,0,0,0,0,0,0,1,2,1,22,11,36,21,0,54,20,7 270
10,0,0,0,0,0,0,0,0,2,3,1,28,12,36,21,0,54,20,7 270
10,1,0,1,0,0,0,0,0,0,3,1,28,12,36,21,0,54,20,7 270
10,0,0,0,0,0,0,0,0,0,3,1,28,12,36,21,0,54,20,7 270
10,0,0,0,0,0,0,0,0,0,3,1,28,12,36,21,0,54,20,7 270
21,0,0,0,0,0,0,0,0,1,4,1,29,12,29,10,0,44,10,4 290
21,0,0,0,0,0,0,0,0,3,4,1,29,12,29,10,0,44,10,4 290
21,0,0,0,0,0,0,0,0,1,4,1,29,12,29,10,0,44,10,4 290
21,1,0,0,0,0,0,1,0,1,4,1,29,12,29,10,0,44,10,4 290
22,0,0,0,0,0,0,0,0,1,4,1,29,12,29,9,0,42,9.2,280
23,2,0,0,0,0,0,2,0,0,4,1,29,12,28,8,0,42,9.2,270
23,0,0,0,0,0,0,0,0,0,4,1,29,12,28,8,0,42,9.2,270
23,0,0,0,0,0,0,0,0,1,4,1,29,12,28,8,0,42,9.2,270
23,0,0,0,0,0,0,0,0,1,4,1,29,12,28,8,0,42,9.2,270
5,0,0,0,0,0,0,0,0,1,4,1,29,12,38,37,0.05,97,0,0
5,0,0,0,0,0,0,0,0,3,4,1,29,12,38,37,0.05,97,0,0
6,0,0,0,0,0,0,0,0,1,4,1,29,12,34,32,0.06,92,6.9,290
6,0,0,0,0,0,0,0,0,1,4,1,29,12,34,32,0.06,92,6.9,290
7,0,0,0,0,0,0,0,0,3,4,1,29,12,34,33,0.02,96,8.1,290
8,0,0,0,0,0,0,0,0,0,4,1,29,12,35,32,0,88,9.2,260
8,0,0,0,0,0,0,0,0,3,4,1,29,12,35,32,0,88,9.2,260
8,0,0,0,0,0,0,0,0,3,4,1,29,12,35,32,0,88,9.2,260
8,0,0,0,0,0,0,0,0,1,4,1,29,12,35,32,0,88,9.2,260
9,0,0,0,0,0,0,0,0,1,4,1,29,12,36,29,0,75,14,9 260
9,0,0,0,0,0,0,0,0,1,4,1,29,12,36,29,0,75,14,9 260
9,0,0,0,0,0,0,0,0,1,4,1,29,12,36,29,0,75,14,9 260
9,0,0,0,0,0,0,0,0,0,4,1,29,12,36,29,0,75,14,9 260
